interval_start,total_sim_flow,total_obs_flow,geh_mean,mape_mean,geh_pass_rate,flow_ratio,time_formatted
480,4110.0,17339,19.733311155316148,76.26809051555468,0.0,0.23703789145856163,08:00
485,8554.0,17347,11.987204081805809,50.293687098331894,2.380952380952381,0.49311120078399723,08:05
490,9683.0,16836,9.625954618125812,41.88518450343685,9.523809523809524,0.575136612021858,08:10
495,9764.0,16493,9.027592498764895,39.599284120322075,11.904761904761903,0.592008730976778,08:15
500,9552.0,16749,9.703613988575189,42.14488818178192,11.904761904761903,0.570302704639083,08:20
505,9418.0,16538,9.625506217796701,42.04217642427795,9.523809523809524,0.5694763574797436,08:25
510,9304.0,16521,9.784342643415403,42.52984248731376,14.285714285714285,0.5631620361963562,08:30
515,9368.0,15803,8.906783639357222,40.001676273107044,16.666666666666664,0.5927988356641144,08:35
520,9246.0,15708,8.935205167012223,40.06279713183868,21.428571428571427,0.5886172650878533,08:40
525,9357.0,15445,8.447519856654946,38.15217792264288,21.428571428571427,0.6058271285205569,08:45
530,9301.0,14992,8.064096686623444,37.23392264255384,19.047619047619047,0.620397545357524,08:50
535,9246.0,14705,7.6712991109619235,35.75115825105469,30.952380952380953,0.6287657259435566,08:55
