gantry_id,total_flow,time_intervals
G000551002000110010,509,12
G000551002000210010,619,12
G000551002000220010,435,12
G000551002000310010,491,12
G000551002000320010,442,12
G000551003000110010,476,12
G000551003000120010,442,12
G000551003000210010,418,12
G000551003000220010,487,12
G000551003000310010,482,12
G000551003000320010,411,12
G000551003000410010,512,12
G000551003000420010,630,12
G000551003000510010,524,12
G000551003000520010,685,12
G000551003000610010,491,12
G000551003000620010,738,12
G000551003000710010,489,12
G000551003000720010,747,12
G000551003000810010,476,12
G000551003000820010,733,12
G000551003000910010,561,12
G000551003000920010,757,12
G000551003001010010,565,12
G000551003001020010,809,12
G000551003001110010,565,12
G000551003001120010,793,12
G000551003001210010,848,12
G000551003001220010,1013,12
G000551003001310010,1438,12
G000551003001320010,1482,12
G000551005000210010,3197,12
G000551005000220010,3827,12
G000551005000310010,2597,12
G000551005000320010,2702,12
G000551005000410010,3294,12
G000551005000420010,2508,12
G000551005000510010,2794,12
G000551005000520010,2311,12
G000551005000610010,2628,12
G000551005000620010,2010,12
G000551005000710010,530,12
G000551005000720010,567,12
G000551005000810010,880,12
G000551005000820010,530,12
G000551005000910010,980,12
G000551005000920010,615,12
G000551005001010010,1187,12
G000551005001020010,743,12
G000551005001110010,997,12
G000551005001120010,430,12
G000551005001210010,945,12
G000551005001220010,417,12
G000551005001310010,867,12
G000551005001320010,377,12
G000551005001420010,412,12
G000551005001610010,1270,11
G000551005001710010,1228,11
G000551005001720010,648,11
G000551005001810010,1270,12
G000551005001820010,491,10
G000551005001910010,1209,12
G000551005001920010,507,12
G000551005002010010,1239,12
G000551005002020010,554,12
G000551005003710010,3756,12
G000551006000110010,379,7
G000551006000210010,16,6
G000551006000310010,495,12
G000551006000320010,343,12
G000551006000410010,354,12
G000551006000420010,290,12
G000551006000510010,323,12
G000551006000520010,276,12
G000551006000610010,149,12
G000551006000620010,189,12
G000551006000710010,271,12
G000551006000720010,263,12
G000551006000820010,83,12
G000551006000910010,168,12
G000551006001010010,146,12
G000551006001020010,211,12
G000551006001110010,157,12
G000551006001120010,259,12
G000551006001210010,154,12
G000551006001220010,284,12
G000551006001310010,274,12
G000551006001320010,337,12
G000551007000210010,504,12
G000551007000220010,638,12
G000551007000310010,494,12
G000551007000320010,663,12
G000551007000410010,676,12
G000551007000420010,789,12
G000551007000510010,560,12
G000551007000520010,763,12
G000551007000610010,577,12
G000551007000620010,443,12
G000551007000710010,998,12
G000551007000720010,669,12
G000551008000110010,435,12
G000551008000120010,385,12
G000551008000210010,351,12
G000551008000220010,389,12
G000551008000310010,344,12
G000551008000320010,268,12
G000551008000420010,169,12
G000551008002210010,307,12
G000551008002220010,276,12
G000551044000210010,936,12
G000551044000220010,1037,12
G000551044000310010,951,12
G000551044000320010,1182,12
G000551044000410010,995,12
G000551044000420010,1515,12
G000551044000510010,958,12
G000551044000520010,1603,12
G000551044000610010,292,12
G000551044000620010,1577,12
G000551044000710010,818,12
G000551044000720010,1290,12
G000551044000810010,1000,12
G000551044000820010,1591,12
G000551044000910010,1175,12
G000551044000920010,1536,12
G000551044001010010,1415,12
G000551044001020010,2142,12
G000551044001110010,1235,12
G000551044001120010,1973,12
G000551044001210010,1731,12
G000551044001220010,2267,12
G000551044001310010,1819,12
G000551044001320010,2920,12
G000551044001420010,2956,12
G000551044002810010,393,5
G000551044002820010,1533,12
G007651002001110010,25,2
G007651003000110010,139,3
G007651003000120010,696,12
G007651003000210010,477,12
G007651003000220010,596,12
G007651003000310010,406,12
G007651003000320010,532,12
G007651003000410010,414,12
G007651003000420010,538,12
G007651003000510010,466,12
G007651003000520010,529,12
G007651003000610010,534,12
G007651003000620010,618,12
G007651003000710010,430,12
G007651003000720010,462,12
G007651003000810010,264,12
G007651003000820010,297,12
G007651003001810010,167,12
G420151001000110010,4300,12
G420151001000120010,4125,12
G420151001000220010,4040,12
G420151001000410010,3914,12
G420151001000510010,4968,12
G420151001000520010,4643,12
G420151001000610010,4475,12
G420151001000620010,4133,12
G420151001000710010,4370,12
G420151001000720010,3784,12
G420151001000810010,4814,12
G420151001000820010,4670,12
G420151001000910010,6019,12
G420151001000920010,4878,12
G420151001001010010,5287,12
G420151001001020010,4693,12
G420151001001110010,4751,12
G420151001001120010,6103,12
G420151001001210010,5574,12
G420151001001220010,7094,12
G420151001001310010,4741,12
G420151001001320010,5615,12
G420151001002910010,4515,12
G420151001002920010,4799,12
G420151002000110010,3748,12
G420151002000120010,4918,12
G420151002000210010,4247,12
G420151002000220010,4219,12
G420151002000310010,3912,12
G420151002000320010,4462,12
G420151002000410010,3379,12
G420151002000420010,3333,12
G420151002000510010,5137,12
G420151002000520010,5269,12
G420151002000610010,4707,12
G420151002000620010,4709,12
G420151002000710010,3491,12
G420151002000720010,5001,12
G420151002000810010,4137,12
G420151002000820010,4437,12
G420151002000910010,4916,12
G420151002000920010,4869,12
G420151002001010010,4650,12
G420151002001020010,3944,12
S008151001000320010,127,12
S420251002000210010,667,12
S420251002000310010,675,12
S420251002000320010,776,12
S420251002000410010,699,12
S420251002000420010,883,12
S420251002000510010,753,12
S420251002000520010,997,12
S420251002000620010,1286,12
S420251002000810010,937,12
S420251002000910010,960,12
S420251002000920010,1514,12
S420251002001010010,989,12
S420251002001020010,1545,12
S420251002001120010,1535,12
S420251002001310010,1391,12
S420251002001410010,1023,12
S420251002001420010,1439,12
S420251002001520010,1409,12
S420251002001710010,986,12
S420251002001810010,1100,12
S420251002001820010,1627,12
S420251002001910010,1167,12
S420251002001920010,1626,12
S420251002002010010,837,12
S420251002002020010,802,12
S420251002002120010,731,12
